
# Sample: Metakaolin
# Columns: 2theta(deg) Intensity(pseudo-counts)
16.4706 500
16.6471 500
16.8235 500
17.0000 500
17.1765 500
17.3529 500
17.5294 0
17.7059 0
17.8824 0
18.0588 500
18.2353 500
18.4118 500
18.5882 500
18.7647 500
18.9412 500
19.1176 500
19.2941 500
19.4706 500
19.6471 500
19.8235 500
20.0000 500
20.1765 1000
20.3529 750
20.5294 500
20.7059 1000
20.8824 500
21.0588 1000
21.2353 1000
21.4118 1500
21.5882 1500
21.7647 1500
21.9412 1500
22.1176 1500
22.2941 2000
22.4706 1750
22.6471 1500
22.8235 2000
23.0000 2000
23.1765 2250
23.3529 2000
23.5294 2000
23.7059 1750
23.8824 1500
24.0588 2000
24.2353 2500
24.4118 3000
24.5882 2750
24.7647 2000
24.9412 2500
25.1176 2250
25.2941 2500
25.4706 2750
25.6471 3000
25.8235 3000
26.0000 3500
26.1765 4000
26.3529 5250
26.5294 6750
26.7059 7250
26.8824 9250
27.0588 10000
27.2353 8500
27.4118 7750
27.5882 6500
27.7647 5500
27.9412 4750
28.1176 4000
28.2941 3000
28.4706 3000
28.6471 3250
28.8235 3000
29.0000 2500
29.1765 2000
29.3529 1500
29.5294 1500
29.7059 1500
29.8824 1000
30.0588 1000
30.2353 1000
30.4118 750
30.5882 750
30.7647 750
30.9412 750
31.1176 250
31.2941 250
31.4706 250
31.6471 500
31.8235 500
32.0000 500
32.1765 500
32.3529 500
32.5294 750
32.7059 750
32.8824 250
33.0588 250
33.2353 750
33.4118 1000
33.5882 1000
33.7647 1000
33.9412 1000
34.1176 1000
34.2941 500
34.4706 500
34.6471 500
34.8235 500
35.0000 0
35.1765 250
35.3529 1000
35.5294 1000
35.7059 1000
35.8824 1000
36.0588 500
36.2353 500
36.4118 500
36.5882 500
36.7647 500
36.9412 500
37.1176 0
37.2941 500
37.4706 500
37.6471 500
37.8235 0
38.0000 0
38.1765 750
38.3529 500
38.5294 500
38.7059 500
38.8824 500
39.0588 500
39.2353 500
39.4118 500
39.5882 500
39.7647 500
39.9412 500
40.1176 500
40.2941 0
40.4706 500
40.6471 500
40.8235 0
41.0000 0
41.1765 500
41.3529 500
41.5294 0
41.7059 0
41.8824 250
42.0588 1000
42.2353 1000
42.4118 1000
42.5882 1000
42.7647 500
42.9412 500
43.1176 500
43.2941 500
43.4706 500
43.6471 500
43.8235 500
44.0000 500
44.1765 500
44.3529 0
44.5294 0
44.7059 0
44.8824 0
45.0588 500
45.2353 500
45.4118 0
45.5882 0
45.7647 500
45.9412 500
46.1176 0
46.2941 0
46.4706 0
46.6471 0
46.8235 0
47.0000 0
47.1765 0
47.3529 250
47.5294 500
47.7059 500
47.8824 500
48.0588 500
48.2353 500
48.4118 500
48.5882 500
48.7647 500
48.9412 0
49.1176 500
49.2941 500
49.4706 500
49.6471 500
49.8235 500
50.0000 0
50.1765 0
50.3529 500
50.5294 250
50.7059 250
50.8824 250
51.0588 500
51.2353 1000
51.4118 500
51.5882 500
51.7647 500
51.9412 500
52.1176 500
52.2941 500
52.4706 500
52.6471 500
52.8235 0
53.0000 500
53.1765 0
53.3529 500
53.5294 500
53.7059 0
53.8824 0
54.0588 0
54.2353 500
54.4118 500
54.5882 500
54.7647 0
54.9412 0
55.1176 0
55.2941 0
55.4706 0
55.6471 0
55.8235 0
56.0000 0
56.1765 0
56.3529 0
56.5294 0
56.7059 0
56.8824 250
57.0588 500
57.2353 500
57.4118 500
57.5882 500
57.7647 500
57.9412 500
58.1176 500
58.2941 500
58.4706 500
58.6471 500
58.8235 0
59.0000 500
59.1765 500
59.3529 500
59.5294 0
59.7059 0
59.8824 0
60.0588 0
60.2353 500
60.4118 500
60.5882 0
60.7647 0
60.9412 0
61.1176 250
61.2941 500
61.4706 500
61.6471 500
61.8235 500
62.0000 500
62.1765 500
62.3529 500
62.5294 500
62.7059 500
62.8824 500
63.0588 500
63.2353 500
63.4118 500
63.5882 0
63.7647 0
63.9412 0
64.1176 0
64.2941 500
64.4706 0
64.6471 500
64.8235 500
65.0000 500
65.1765 0
65.3529 0
65.5294 0
65.7059 0
65.8824 0
66.0588 0
66.2353 0
66.4118 0
66.5882 0
66.7647 0
66.9412 0
67.1176 0
67.2941 0
67.4706 0
67.6471 0
67.8235 0
68.0000 0
68.1765 0
68.3529 0
68.5294 250
68.7059 250
68.8824 500
69.0588 500
69.2353 500
69.4118 500
69.5882 500
69.7647 500
69.9412 500
70.1176 500
70.2941 500
70.4706 500
70.6471 500
70.8235 500
71.0000 0
71.1765 0
71.3529 500
71.5294 0
71.7059 0
71.8824 0
72.0588 0
72.2353 0
72.4118 0
72.5882 0
72.7647 0
72.9412 0
73.1176 0
73.2941 0
73.4706 0
73.6471 0
73.8235 250
74.0000 500
74.1765 500
74.3529 500
74.5294 500
74.7059 0
74.8824 500
75.0588 500
75.2353 500
75.4118 500
75.5882 500
75.7647 500
75.9412 500
76.1176 500
76.2941 500
76.4706 0
76.6471 0
76.8235 0
77.0000 0
77.1765 500
77.3529 0
77.5294 500
77.7059 500
77.8824 0
78.0588 0
78.2353 0
78.4118 500
78.5882 0
78.7647 0
78.9412 0
79.1176 0
79.2941 0
79.4706 0
79.6471 0
79.8235 0
80.0000 0
80.1765 0
80.3529 0
80.5294 0
80.7059 0
