2theta_deg,relative_intensity_au,sample
16.47058824,83.33333333,ATM Mortar
16.64705882,83.33333333,ATM Mortar
16.82352941,47.91666667,ATM Mortar
17,83.33333333,ATM Mortar
17.17647059,85.41666667,ATM Mortar
17.35294118,125,ATM Mortar
17.52941176,166.6666667,ATM Mortar
17.70588235,83.33333333,ATM Mortar
17.88235294,118.75,ATM Mortar
18.05882353,83.33333333,ATM Mortar
18.23529412,83.33333333,ATM Mortar
18.41176471,83.33333333,ATM Mortar
18.58823529,125,ATM Mortar
18.76470588,83.33333333,ATM Mortar
18.94117647,83.33333333,ATM Mortar
19.11764706,104.1666667,ATM Mortar
19.29411765,125,ATM Mortar
19.47058824,83.33333333,ATM Mortar
19.64705882,83.33333333,ATM Mortar
19.82352941,41.66666667,ATM Mortar
20,83.33333333,ATM Mortar
20.17647059,83.33333333,ATM Mortar
20.35294118,83.33333333,ATM Mortar
20.52941176,62.5,ATM Mortar
20.70588235,83.33333333,ATM Mortar
20.88235294,83.33333333,ATM Mortar
21.05882353,83.33333333,ATM Mortar
21.23529412,125,ATM Mortar
21.41176471,125,ATM Mortar
21.58823529,41.66666667,ATM Mortar
21.76470588,41.66666667,ATM Mortar
21.94117647,41.66666667,ATM Mortar
22.11764706,62.5,ATM Mortar
22.29411765,62.5,ATM Mortar
22.47058824,62.5,ATM Mortar
22.64705882,83.33333333,ATM Mortar
22.82352941,83.33333333,ATM Mortar
23,41.66666667,ATM Mortar
23.17647059,41.66666667,ATM Mortar
23.35294118,41.66666667,ATM Mortar
23.52941176,83.33333333,ATM Mortar
23.70588235,125,ATM Mortar
23.88235294,250,ATM Mortar
24.05882353,83.33333333,ATM Mortar
24.23529412,41.66666667,ATM Mortar
24.41176471,41.66666667,ATM Mortar
24.58823529,0,ATM Mortar
24.76470588,0,ATM Mortar
24.94117647,41.66666667,ATM Mortar
25.11764706,41.66666667,ATM Mortar
25.29411765,0,ATM Mortar
25.47058824,0,ATM Mortar
25.64705882,62.5,ATM Mortar
25.82352941,104.1666667,ATM Mortar
26,62.5,ATM Mortar
26.17647059,104.1666667,ATM Mortar
26.35294118,166.6666667,ATM Mortar
26.52941176,458.3333333,ATM Mortar
26.70588235,1000,ATM Mortar
26.88235294,416.6666667,ATM Mortar
27.05882353,208.3333333,ATM Mortar
27.23529412,125,ATM Mortar
27.41176471,83.33333333,ATM Mortar
27.58823529,83.33333333,ATM Mortar
27.76470588,83.33333333,ATM Mortar
27.94117647,83.33333333,ATM Mortar
28.11764706,41.66666667,ATM Mortar
28.29411765,0,ATM Mortar
28.47058824,20.83333333,ATM Mortar
28.64705882,83.33333333,ATM Mortar
28.82352941,83.33333333,ATM Mortar
29,41.66666667,ATM Mortar
29.17647059,41.66666667,ATM Mortar
29.35294118,125,ATM Mortar
29.52941176,208.3333333,ATM Mortar
29.70588235,333.3333333,ATM Mortar
29.88235294,125,ATM Mortar
30.05882353,83.33333333,ATM Mortar
30.23529412,41.66666667,ATM Mortar
30.41176471,41.66666667,ATM Mortar
30.58823529,0,ATM Mortar
30.76470588,41.66666667,ATM Mortar
30.94117647,41.66666667,ATM Mortar
31.11764706,0,ATM Mortar
31.29411765,0,ATM Mortar
31.47058824,83.33333333,ATM Mortar
31.64705882,83.33333333,ATM Mortar
31.82352941,41.66666667,ATM Mortar
32,20.83333333,ATM Mortar
32.17647059,41.66666667,ATM Mortar
32.35294118,41.66666667,ATM Mortar
32.52941176,83.33333333,ATM Mortar
32.70588235,41.66666667,ATM Mortar
32.88235294,41.66666667,ATM Mortar
33.05882353,125,ATM Mortar
33.23529412,166.6666667,ATM Mortar
33.41176471,83.33333333,ATM Mortar
33.58823529,83.33333333,ATM Mortar
33.76470588,125,ATM Mortar
33.94117647,375,ATM Mortar
34.11764706,187.5,ATM Mortar
34.29411765,62.5,ATM Mortar
34.47058824,20.83333333,ATM Mortar
34.64705882,20.83333333,ATM Mortar
34.82352941,20.83333333,ATM Mortar
35,20.83333333,ATM Mortar
35.17647059,20.83333333,ATM Mortar
35.35294118,41.66666667,ATM Mortar
35.52941176,41.66666667,ATM Mortar
35.70588235,41.66666667,ATM Mortar
35.88235294,41.66666667,ATM Mortar
36.05882353,62.5,ATM Mortar
36.23529412,83.33333333,ATM Mortar
36.41176471,83.33333333,ATM Mortar
36.58823529,41.66666667,ATM Mortar
36.76470588,41.66666667,ATM Mortar
36.94117647,83.33333333,ATM Mortar
37.11764706,83.33333333,ATM Mortar
37.29411765,125,ATM Mortar
37.47058824,333.3333333,ATM Mortar
37.64705882,166.6666667,ATM Mortar
37.82352941,83.33333333,ATM Mortar
38,41.66666667,ATM Mortar
38.17647059,0,ATM Mortar
38.35294118,41.66666667,ATM Mortar
38.52941176,41.66666667,ATM Mortar
38.70588235,0,ATM Mortar
38.88235294,0,ATM Mortar
39.05882353,0,ATM Mortar
39.23529412,0,ATM Mortar
39.41176471,0,ATM Mortar
39.58823529,0,ATM Mortar
39.76470588,0,ATM Mortar
39.94117647,0,ATM Mortar
40.11764706,20.83333333,ATM Mortar
40.29411765,41.66666667,ATM Mortar
40.47058824,41.66666667,ATM Mortar
40.64705882,0,ATM Mortar
40.82352941,41.66666667,ATM Mortar
41,41.66666667,ATM Mortar
41.17647059,41.66666667,ATM Mortar
41.35294118,41.66666667,ATM Mortar
41.52941176,41.66666667,ATM Mortar
41.70588235,41.66666667,ATM Mortar
41.88235294,41.66666667,ATM Mortar
42.05882353,83.33333333,ATM Mortar
42.23529412,208.3333333,ATM Mortar
42.41176471,83.33333333,ATM Mortar
42.58823529,41.66666667,ATM Mortar
42.76470588,0,ATM Mortar
42.94117647,0,ATM Mortar
43.11764706,0,ATM Mortar
43.29411765,0,ATM Mortar
43.47058824,0,ATM Mortar
43.64705882,0,ATM Mortar
43.82352941,0,ATM Mortar
44,0,ATM Mortar
44.17647059,0,ATM Mortar
44.35294118,20.83333333,ATM Mortar
44.52941176,41.66666667,ATM Mortar
44.70588235,41.66666667,ATM Mortar
44.88235294,41.66666667,ATM Mortar
45.05882353,41.66666667,ATM Mortar
45.23529412,41.66666667,ATM Mortar
45.41176471,41.66666667,ATM Mortar
45.58823529,83.33333333,ATM Mortar
45.76470588,125,ATM Mortar
45.94117647,291.6666667,ATM Mortar
46.11764706,166.6666667,ATM Mortar
46.29411765,83.33333333,ATM Mortar
46.47058824,41.66666667,ATM Mortar
46.64705882,41.66666667,ATM Mortar
